distance_m;elapsed_time_s;elevation_gain_m;mean_km_per_week;mean_training_days_per_week;gender_binary;level
218950;96372;9729;55,17231143;3,96;0;3
177026;164062;9833;51,28863644;3,796610169;0;3
173858;117758;12078,5;35,42519715;2,544483986;0;2
165000;126467;0;53,31155238;3,428571429;0;3
136057;80295;7221;51,28863644;3,796610169;0;3
135813;116886;7223;29,28912177;2,306122449;0;2
132567;80492;7732;35,42519715;2,544483986;0;2
127540;77570;7389;51,28863644;3,796610169;0;3
126145;66815;7547,7;35,42519715;2,544483986;0;2
125622;92030;7115;51,28863644;3,796610169;0;3
120912;82803;3515,1;35,55126737;2,78245614;1;3
119099;63068;5767;31,64926337;2,238683128;0;3
117685;55857;5913;44,22259315;2,835616438;1;2
111429;54619;5234;55,17231143;3,96;0;3
109298;57234;5062,2;31,64926337;2,238683128;0;3
106862;56497;4558;32,43651165;2,446601942;0;2
106295;58138;4630;37,90207398;3,520325203;0;2
104321;53287;4921,9;33,13721136;2,352272727;0;2
96127,7;54835;4945;35,42519715;2,544483986;0;2
93607,8;33668;863;26,15680562;2,404494382;0;2
91500;36000;0;25,59271481;2,101851852;0;2
90281;55226;5736;32,79745989;2,962566845;1;2
88306,1;37514;2084,4;35,55126737;2,78245614;1;3
87423,1;57331;5970,5;55,17231143;3,96;0;3
84500;43090;0;28,76237419;1,720430108;0;2
84278;52978;5450;32,40464657;2,783393502;0;2
84149,3;47334;5245;55,17231143;3,96;0;3
83363,3;43115;5270,5;53,31155238;3,428571429;0;3
83012;48647;4962;32,79745989;2,962566845;1;2
82318;61996;5503;31,77827246;2,920289855;0;2
82300;31850;0;33,02951532;2,657657658;0;2
82176,3;47673;5458,7;32,79745989;2,962566845;1;2
82134;40342;2531,2;33,13721136;2,352272727;0;2
81457,6;55658;4818;55,17231143;3,96;0;3
81281,5;30938;2359;55,17231143;3,96;0;3
80000;33760;0;32,06867385;2,261538462;0;2
80000;40020;5000;32,06867385;2,261538462;0;2
78993,2;44181;3456,2;53,04576144;4,509803922;0;3
78443,4;36430;3605;51,28863644;3,796610169;0;3
78244,5;34827;1285,2;26,15680562;2,404494382;0;2
78033,1;31569;3330;48,57342128;3,964539007;0;2
77583,7;37195;2190;26,70785694;2,4375;0;2
76885;46596;4635;33,13721136;2,352272727;0;2
76551,7;48925;4582,6;21,43150709;1,724409449;0;2
76383,9;37933;4522;48,57342128;3,964539007;0;2
76309,1;46065;6165,2;31,64926337;2,238683128;0;3
76163;48542;4754,8;33,02951532;2,657657658;0;2
75950,2;38053;4610;49,83286849;3,903361345;0;3
75466;39675;3414,6;22,52111273;1,363636364;0;2
75157,4;40398;3703;51,28863644;3,796610169;0;3
74744,6;40336;4531;32,43651165;2,446601942;0;2
74287,7;47236;4529;31,63460946;2,243243243;0;2
74161;36466;4751,4;28,76237419;1,720430108;0;2
74054,8;46342;4551;29,28912177;2,306122449;0;2
74000;27454;0;33,02951532;2,657657658;0;2
74000;66403;0;32,77798121;2,731543624;0;2
73876,7;39663;4420;48,57342128;3,964539007;0;2
73868,9;45410;4512;26,42394618;2,145454545;0;2
73833;37118;4865;28,76237419;1,720430108;0;2
73335,2;43116;4604;31,64926337;2,238683128;0;3
73240;40115;2251;31,77827246;2,920289855;0;2
73172,4;26652;1906,6;53,31155238;3,428571429;0;3
73096;48404;4353;30,0347156;2,770642202;1;2
72953,6;40518;4837,4;55,17231143;3,96;0;3
72899;42614;4737,2;37,90207398;3,520325203;0;2
72652;36611;4587,6;32,79745989;2,962566845;1;2
72609,4;41837;4526;55,17231143;3,96;0;3
72437;44810;4668;22,52111273;1,363636364;0;2
72348,5;34621;4782;33,13721136;2,352272727;0;2
71374,4;46855;4569;74,12692662;5,179856115;0;3
70675;21985;1500,6;28,76237419;1,720430108;0;2
68699;23447;1525;28,76237419;1,720430108;0;2
68421,4;43857;4856;26,42394618;2,145454545;0;2
68067;46025;4637,6;25,96158194;2,656387665;0;2
67968;45627;4299;24,24953391;1,973913043;0;2
67486,5;31367;3493,6;44,22259315;2,835616438;1;2
66835,9;33049;3316;55,17231143;3,96;0;3
66303,8;33886;3799,5;22,99254251;2,173913043;0;2
65768,6;31035;3661,9;53,31155238;3,428571429;0;3
65386,2;25024;928,8;35,55126737;2,78245614;1;3
64885;31660;2470,6;37,90207398;3,520325203;0;2
64566,9;26744;2222;32,43651165;2,446601942;0;2
64290;47071;4721;37,90207398;3,520325203;0;2
63973;37108;4259,3;35,42519715;2,544483986;0;2
63899,7;41566;4715,5;31,64926337;2,238683128;0;3
63518,7;43076;31;51,28863644;3,796610169;0;3
63136,2;18875;2487;23,4131;2,106382979;0;2
63033,4;28514;2780;26,42394618;2,145454545;0;2
62000;21600;0;25,59271481;2,101851852;0;2
61996;27955;2939,6;44,22259315;2,835616438;1;2
61949,2;21418;2378;22,52111273;1,363636364;0;2
61557,8;40095;4462;27,11409602;2,462686567;0;2
61388,7;23184;2275;27,11409602;2,462686567;0;2
60513,2;46839;4551;33,88067075;2,301886792;0;2
60304;47680;4788;44,22259315;2,835616438;1;2
60000;16200;0;85,100225;6,326086957;0;3
59718,2;17559;1580;31,64926337;2,238683128;0;3
59606,2;16657;2378,5;21,61906646;2,012658228;0;2
59559,6;21469;3120;55,17231143;3,96;0;3
58683,8;2971531;100,6;28,6775641;2,115384615;0;2
58110;45716;3714;31,77827246;2,920289855;0;2
57252,6;18677;1673;53,31155238;3,428571429;0;3
56541,9;39101;3745;26,47819712;2,49201278;0;2
56301,4;39595;4164,6;28,21866111;2,272222222;0;2
56096,9;18345;675,2;53,31155238;3,428571429;0;3
55955;33610;3590;26,42394618;2,145454545;0;2
55006,6;24940;1130,2;35,55126737;2,78245614;1;3
54909,2;16332;2502,3;23,4131;2,106382979;0;2
53809,7;27546;2352,6;53,31155238;3,428571429;0;3
53782,3;31948;2504,4;26,93972538;2,2;1;2
53780;27238;3099;44,22259315;2,835616438;1;2
53557,5;15462;1627,4;27,11409602;2,462686567;0;2
53482,3;28742;3688,5;55,17231143;3,96;0;3
53125,8;21412;780,5;35,55126737;2,78245614;1;3
53125;16485;174,9;35,55126737;2,78245614;1;3
53059,6;17101;310,3;35,55126737;2,78245614;1;3
52606;24212;2383;44,22259315;2,835616438;1;2
52564,7;26584;3695,7;32,06867385;2,261538462;0;2
52508;21531;1581,7;35,42519715;2,544483986;0;2
52147;66228;3597;32,77798121;2,731543624;0;2
52000;14560;0;85,100225;6,326086957;0;3
51646;26762;2722,4;35,42519715;2,544483986;0;2
51450,8;22733;1418;56,81350076;5,114503817;1;3
51450,8;22733;1418;56,81350076;5,114503817;1;3
51281;30075;3190;30,0347156;2,770642202;1;2
51275,2;28029;3834;48,57342128;3,964539007;0;2
50855,1;19788;857,1;35,55126737;2,78245614;1;3
50744;24407;2706;44,22259315;2,835616438;1;2
50539;25374;2683;33,13721136;2,352272727;0;2
50516,5;18169;365,3;21,43150709;1,724409449;0;2
50320,5;25364;2779,7;31,64926337;2,238683128;0;3
50156;18724;2575,9;35,42519715;2,544483986;0;2
50077;26480;2685,6;33,13721136;2,352272727;0;2
49650,2;27503;2520;33,88067075;2,301886792;0;2
49497,5;13873;39,9;24,81411417;2,183333333;1;2
49243,9;15479;905,6;24,81411417;2,183333333;1;2
48378,8;23534;1501;35,42519715;2,544483986;0;2
48377,8;16808;1501;48,57342128;3,964539007;0;2
47831,4;17357;697,9;26,15680562;2,404494382;0;2
47745;21605;2519;33,13721136;2,352272727;0;2
47535,7;25380;2984;35,42519715;2,544483986;0;2
47486,2;29698;2449;55,17231143;3,96;0;3
47186,7;20714;2466,4;35,42519715;2,544483986;0;2
46886,4;17061;1029,5;49,11819406;3,559440559;0;3
46836,1;33508;2844;26,47819712;2,49201278;0;2
46462,4;30707;2754;48,57342128;3,964539007;0;2
45608,5;15378;371,3;49,11819406;3,559440559;0;3
45563,8;15954;343,5;49,11819406;3,559440559;0;3
45437;24050;2780;51,28863644;3,796610169;0;3
45431,7;30491;2813;26,47819712;2,49201278;0;2
45373,3;27663;2228;56,81350076;5,114503817;1;3
45373,3;27663;2228;56,81350076;5,114503817;1;3
45269;30723;3075;29,28912177;2,306122449;0;2
45221,6;24906;349,5;49,11819406;3,559440559;0;3
45061;22832;3367,8;32,43651165;2,446601942;0;2
45012;25637;2568,2;44,22259315;2,835616438;1;2
44969,2;25148;3060;51,28863644;3,796610169;0;3
44745,6;24852;2996,2;53,04576144;4,509803922;0;3
44724,5;17444;1306,1;49,11819406;3,559440559;0;3
44699,4;25511;2477;33,13721136;2,352272727;0;2
44607,2;22695;930;32,77798121;2,731543624;0;2
44580,7;22766;2572;35,42519715;2,544483986;0;2
44377,6;15799;347,2;49,11819406;3,559440559;0;3
44372,3;16618;228,3;49,11819406;3,559440559;0;3
44245,2;16026;213,1;49,11819406;3,559440559;0;3
44165;20156;1332;35,55126737;2,78245614;1;3
44147,2;23664;2478,5;32,79745989;2,962566845;1;2
44093,5;28613;2405;32,05869068;2,949152542;1;2
44079,3;28290;3165,6;30,50147568;2,8;1;2
43992,8;22908;3081;32,43651165;2,446601942;0;2
43971,5;26142;2476;24,24953391;1,973913043;0;2
43920;19069;2534;28,76237419;1,720430108;0;2
43898,2;17837;1251,6;49,11819406;3,559440559;0;3
43876,5;27585;2801;26,47819712;2,49201278;0;2
43848,3;27412;2481;32,77798121;2,731543624;0;2
43804,4;22356;2703,8;31,64926337;2,238683128;0;3
43777,4;15243;479,1;35,55126737;2,78245614;1;3
43713,4;24608;3219,2;32,79745989;2,962566845;1;2
43712;19058;3142;28,76237419;1,720430108;0;2
43709;23114;2995;44,22259315;2,835616438;1;2
43706,9;26867;2520;24,57898271;2,247663551;0;2
43706,8;26230;3195;32,40464657;2,783393502;0;2
43706,1;20963;2742,4;26,42394618;2,145454545;0;2
43665;25815;3249,6;35,42519715;2,544483986;0;2
43645,2;23159;2393;34,54931222;2,533333333;0;2
43594,7;23762;2720;55,17231143;3,96;0;3
43553;20992;2180;33,88067075;2,301886792;0;2
43499,1;14238;567,5;53,31155238;3,428571429;0;3
43492,6;15319;403,3;49,11819406;3,559440559;0;3
43482,8;14258;369,1;28,6775641;2,115384615;0;2
43469,9;23368;2469;33,88067075;2,301886792;0;2
43463,1;16987;250,7;26,70785694;2,4375;0;2
43463;14237;389,7;23,4131;2,106382979;0;2
43449,4;16681;1018,3;49,11819406;3,559440559;0;3
43446;21673;3309,1;32,79745989;2,962566845;1;2
43411,3;13983;71;39,94094043;3,468085106;1;3
43384,4;28741;4027,2;32,79745989;2,962566845;1;2
43384;14650;225;23,80374359;2,153846154;0;2
43351,7;13058;189,6;53,31155238;3,428571429;0;3
43351;25696;2551,8;27,79998768;2,611374408;0;2
43329;14715;257;31,77827246;2,920289855;0;2
43296;15879;755,8;49,11819406;3,559440559;0;3
43281,9;17273;1893,4;31,64926337;2,238683128;0;3
43272,2;22567;2703;51,28863644;3,796610169;0;3
43225,8;31978;3815;32,40464657;2,783393502;0;2
43166,8;15700;917,1;32,79745989;2,962566845;1;2
43162,6;27828;2688;29,28912177;2,306122449;0;2
43162;23587;2600;25,59271481;2,101851852;0;2
43161,6;14277;376,4;28,6775641;2,115384615;0;2
43156,9;19166;133;26,15680562;2,404494382;0;2
43102,2;15756;504,7;49,11819406;3,559440559;0;3
43101,8;14574;496,5;49,11819406;3,559440559;0;3
43048,9;11779;714,8;26,42394618;2,145454545;0;2
43003,2;24702;2690;27,11409602;2,462686567;0;2
42991,5;11960;354,3;49,11819406;3,559440559;0;3
42969,1;18464;710,2;35,55126737;2,78245614;1;3
42967,4;12438;114,6;49,11819406;3,559440559;0;3
42967;30824;2673;32,77798121;2,731543624;0;2
42942,2;25607;2662;31,63460946;2,243243243;0;2
42886,1;13421;132,6;49,11819406;3,559440559;0;3
42879,4;30586;2603,6;26,93972538;2,2;1;2
42874,2;14500;303,7;49,11819406;3,559440559;0;3
42859,3;12288;223;34,54931222;2,533333333;0;2
42845,3;15364;241,8;39,94094043;3,468085106;1;3
42838,1;13225;208,3;49,11819406;3,559440559;0;3
42828,2;27691;2798;32,77798121;2,731543624;0;2
42822,4;17641;708,6;35,55126737;2,78245614;1;3
42822,3;14051;422,3;35,805175;3,048780488;1;3
42818;23530;2548,8;33,02951532;2,657657658;0;2
42794,8;16509;403,5;49,11819406;3,559440559;0;3
42790,8;24451;2714;38,475968;3,34;1;2
42788,7;11066;136;26,42394618;2,145454545;0;2
42787,9;12627;295,2;49,11819406;3,559440559;0;3
42759,3;12232;201,8;49,11819406;3,559440559;0;3
42758,2;13907;2287;48,57342128;3,964539007;0;2
42740,8;12974;261,1;49,11819406;3,559440559;0;3
42728,9;12346;259,7;49,11819406;3,559440559;0;3
42724,6;13466;282,6;49,11819406;3,559440559;0;3
42721,9;13476;218,9;49,11819406;3,559440559;0;3
42716,9;27171;3094,4;35,55126737;2,78245614;1;3
42709,1;14950;280,7;28,6775641;2,115384615;0;2
42704,4;13770;40;56,81350076;5,114503817;1;3
42704,4;13770;40;56,81350076;5,114503817;1;3
42693,8;15448;670,6;35,55126737;2,78245614;1;3
42679,6;12475;458,3;24,24953391;1,973913043;0;2
42676,7;13009;148;49,11819406;3,559440559;0;3
42675,6;12309;262,5;49,11819406;3,559440559;0;3
42667,9;11918;282,6;49,11819406;3,559440559;0;3
42666,1;14137;463,9;33,63371754;2,280701754;1;2
42663,4;11709;582,9;49,11819406;3,559440559;0;3
42661,1;12026;258,3;49,11819406;3,559440559;0;3
42654,9;12979;210,8;49,11819406;3,559440559;0;3
42652,8;10296;406,5;53,31155238;3,428571429;0;3
42649,2;12799;205,4;49,11819406;3,559440559;0;3
42631,1;12005;285,5;49,11819406;3,559440559;0;3
42627;12258;154,5;26,15680562;2,404494382;0;2
42621,3;12993;233,3;49,11819406;3,559440559;0;3
42617,2;12267;230,9;49,11819406;3,559440559;0;3
42611,9;12240;439,7;49,11819406;3,559440559;0;3
42609,5;20886;2678;22,52111273;1,363636364;0;2
42600,8;12214;144;49,11819406;3,559440559;0;3
42600,6;10547;240,1;53,04576144;4,509803922;0;3
42598,8;13811;255,4;39,94094043;3,468085106;1;3
42597,7;11556;244,8;49,11819406;3,559440559;0;3
42596,8;11864;134,6;49,11819406;3,559440559;0;3
42594,5;10952;55;74,12692662;5,179856115;0;3
42588,2;12701;124;49,11819406;3,559440559;0;3
42586,2;13819;160,9;49,11819406;3,559440559;0;3
42585,6;12448;272,9;26,70785694;2,4375;0;2
42576,2;12468;467,4;49,11819406;3,559440559;0;3
42576,1;12642;331,4;49,11819406;3,559440559;0;3
42561,7;13722;687,3;39,94094043;3,468085106;1;3
42558,9;12107;383,3;49,11819406;3,559440559;0;3
42554,7;14251;228,1;28,6775641;2,115384615;0;2
42546,7;14189;169;24,24953391;1,973913043;0;2
42543,7;15177;327,6;33,63371754;2,280701754;1;2
42541,2;13585;137;24,24953391;1,973913043;0;2
42538,9;11719;114,6;26,70785694;2,4375;0;2
42531,1;13451;323,5;35,55126737;2,78245614;1;3
42530,6;11961;559,6;49,11819406;3,559440559;0;3
42528,7;13713;198,8;30,50147568;2,8;1;2
42526,9;12640;298,8;49,11819406;3,559440559;0;3
42521,9;11570;121;74,12692662;5,179856115;0;3
42505,9;12568;271,7;35,55126737;2,78245614;1;3
42492,3;12404;139,2;49,11819406;3,559440559;0;3
42490,2;11383;261,3;53,04576144;4,509803922;0;3
42479,5;13664;331;33,63371754;2,280701754;1;2
42476,7;23352;2794;27,11409602;2,462686567;0;2
42472;11986;265,9;49,11819406;3,559440559;0;3
42465,7;13857;475,6;23,41419492;1,949152542;0;2
42460;24019;2785,2;26,70785694;2,4375;0;2
42446;10518;205,6;53,31155238;3,428571429;0;3
42445;12465;597,6;33,02951532;2,657657658;0;2
42445;12778;209,9;35,55126737;2,78245614;1;3
42424,1;13088;252,6;53,04576144;4,509803922;0;3
42421,6;12579;355,6;49,11819406;3,559440559;0;3
42419,5;12877;223,9;26,15680562;2,404494382;0;2
42416,4;13178;160,6;49,11819406;3,559440559;0;3
42413,3;11403;68;28,21866111;2,272222222;0;2
42400,9;12481;157,5;49,11819406;3,559440559;0;3
42398,2;14755;617,3;35,55126737;2,78245614;1;3
42397,3;13208;89;49,11819406;3,559440559;0;3
42392,3;12495;382,1;49,11819406;3,559440559;0;3
42381,4;23390;2776;33,88067075;2,301886792;0;2
42358,8;12458;248,2;49,11819406;3,559440559;0;3
42335,6;13313;395,4;34,06376075;2,691588785;0;2
42334,9;18632;2450,3;32,06867385;2,261538462;0;2
42323,1;22144;2172;21,43150709;1,724409449;0;2
42311,4;10676;188,1;28,21866111;2,272222222;0;2
42304;11939;276,6;49,11819406;3,559440559;0;3
42301,3;18544;1370;27,11409602;2,462686567;0;2
42290,1;15250;749;35,55126737;2,78245614;1;3
42288;13289;1992;34,30544052;2,758169935;0;2
42271,5;13173;241;49,11819406;3,559440559;0;3
42267,7;15125;732,4;49,11819406;3,559440559;0;3
42250,6;12489;283,6;49,11819406;3,559440559;0;3
42243,6;13929;236;56,81350076;5,114503817;1;3
42243,6;13929;236;56,81350076;5,114503817;1;3
42237,6;27870;2921,9;32,40464657;2,783393502;0;2
42221,9;11863;513,5;49,11819406;3,559440559;0;3
42205,9;20390;891,5;23,41419492;1,949152542;0;2
42129,3;12802;200,5;49,11819406;3,559440559;0;3
42073;17361;2336;28,76237419;1,720430108;0;2
42030,5;16276;375;28,21866111;2,272222222;0;2
42029,7;13936;439,6;35,55126737;2,78245614;1;3
42005,1;14164;242,6;39,94094043;3,468085106;1;3
41998,3;21950;2722,2;26,15680562;2,404494382;0;2
41994;16302;1904,1;31,64926337;2,238683128;0;3
41929,3;26495;2179;32,77798121;2,731543624;0;2
41928,8;15624;281,4;26,70785694;2,4375;0;2
41913,4;13838;342,2;49,11819406;3,559440559;0;3
41908,8;17619;2632;48,57342128;3,964539007;0;2
41908,6;26539;2254;26,47819712;2,49201278;0;2
41881,5;13068;282,4;49,11819406;3,559440559;0;3
41868,7;18166;2517;48,57342128;3,964539007;0;2
41829,9;12717;441,5;49,11819406;3,559440559;0;3
41763;12228;240,9;49,11819406;3,559440559;0;3
41745,6;23442;2673;27,11409602;2,462686567;0;2
41744,7;12317;269,8;49,11819406;3,559440559;0;3
41711,7;23088;2560;36,5462183;3,006535948;0;3
41701,8;21743;2876,4;55,17231143;3,96;0;3
41676,1;27813;2074,4;35,55126737;2,78245614;1;3
41667,3;19539;2733;31,64926337;2,238683128;0;3
41660,6;31961;2816,3;24,44736727;2,345454545;0;2
41660,1;24641;2388;26,47819712;2,49201278;0;2
41651,8;19374;2702;32,43651165;2,446601942;0;2
41582;11737;416;23,4131;2,106382979;0;2
41576,5;20482;2694;55,17231143;3,96;0;3
41487,5;14901;554;25,96158194;2,656387665;0;2
41457,7;14302;290,8;16,09718594;1,40625;0;2
41444,9;12365;1422,4;22,52111273;1,363636364;0;2
41334,8;26083;2950;32,40464657;2,783393502;0;2
41322;20004;2837,8;37,90207398;3,520325203;0;2
41250,6;23079;2025,2;33,88067075;2,301886792;0;2
41233;23837;3044;25,59271481;2,101851852;0;2
41194,4;14723;2237;48,57342128;3,964539007;0;2
41103,6;24605;2150;31,63460946;2,243243243;0;2
41079,5;21696;2839;44,22259315;2,835616438;1;2
41075,2;14247;81,3;21,61906646;2,012658228;0;2
41048,5;22098;2296;29,28912177;2,306122449;0;2
41038,5;23768;2192;29,28912177;2,306122449;0;2
41016;23551;2508;31,77827246;2,920289855;0;2
40971,7;11688;483,2;49,11819406;3,559440559;0;3
40915,6;20702;2282;31,63460946;2,243243243;0;2
40903,2;24465;2449;26,93972538;2,2;1;2
40824;26718;2432,6;31,77827246;2,920289855;0;2
40820,4;16502;2310;44,22259315;2,835616438;1;2
40811,7;20953;2245;31,63460946;2,243243243;0;2
40810;24410;2740;32,40464657;2,783393502;0;2
40787,6;27121;2204;32,77798121;2,731543624;0;2
40781,1;24517;2221;26,47819712;2,49201278;0;2
40775;11647;561,3;24,81411417;2,183333333;1;2
40770,1;12353;243,6;49,11819406;3,559440559;0;3
40762,5;20965;1980,8;53,31155238;3,428571429;0;3
40716,5;19449;2178;27,11409602;2,462686567;0;2
40713,1;23026;2295;32,77798121;2,731543624;0;2
40697;18618;2495,8;33,13721136;2,352272727;0;2
40689;20886;3288,1;32,79745989;2,962566845;1;2
40682,1;14406;68;28,21866111;2,272222222;0;2
40662;19856;2388;35,42519715;2,544483986;0;2
40662;20208;2333;35,42519715;2,544483986;0;2
40630,6;20494;2259;27,11409602;2,462686567;0;2
40617,1;20314;1973,7;53,31155238;3,428571429;0;3
40568,8;20360;2032,5;53,31155238;3,428571429;0;3
40563;22020;2363;33,13721136;2,352272727;0;2
40515,6;18723;2331;74,12692662;5,179856115;0;3
40515,6;18723;2331;74,12692662;5,179856115;0;3
40502,7;24593;2455;33,13721136;2,352272727;0;2
40498,5;16035;2141;48,57342128;3,964539007;0;2
40431,5;16877;2215;44,22259315;2,835616438;1;2
40420,6;19082;2437,1;33,13721136;2,352272727;0;2
40413,4;20275;2222;74,12692662;5,179856115;0;3
40413,4;20275;2222;74,12692662;5,179856115;0;3
40378,6;21058;2386,5;49,11819406;3,559440559;0;3
40267,5;12310;463,8;53,31155238;3,428571429;0;3
40245,5;16617;2077;48,57342128;3,964539007;0;2
40171,4;12289;486,9;49,11819406;3,559440559;0;3
40157,2;15906;2158;48,57342128;3,964539007;0;2
40112;15726;645,4;27,38660654;2,411214953;0;2
40092;25126;2997;32,40464657;2,783393502;0;2
40027,9;19240;2242;26,42394618;2,145454545;0;2
40011,4;17169;2094;48,57342128;3,964539007;0;2
39995,7;12012;109,4;22,99254251;2,173913043;0;2
39972,3;16090;2478;44,22259315;2,835616438;1;2
39924;19150;2476;55,17231143;3,96;0;3
39749;27041;2342;51,28863644;3,796610169;0;3
39539,6;21590;2727,1;26,15680562;2,404494382;0;2
39511,4;25529;2736,8;35,55126737;2,78245614;1;3
39497,1;18770;816;29,28912177;2,306122449;0;2
39460;15510;695,8;35,55126737;2,78245614;1;3
39445,4;27187;2772;26,47819712;2,49201278;0;2
39130,5;19693;2699;55,17231143;3,96;0;3
39106,8;21114;2153;26,42394618;2,145454545;0;2
39057,9;14822;781;56,81350076;5,114503817;1;3
39057,9;14822;781;56,81350076;5,114503817;1;3
38984;17698;2974;28,76237419;1,720430108;0;2
38973,9;23084;3222,7;32,79745989;2,962566845;1;2
38947,1;17113;2322;44,22259315;2,835616438;1;2
38768;13573;471,9;32,79745989;2,962566845;1;2
38622,4;14884;860;51,28863644;3,796610169;0;3
38592,9;23552;1723,9;32,79745989;2,962566845;1;2
38576,5;18168;2057;51,28863644;3,796610169;0;3
38526,7;21525;2328,5;53,31155238;3,428571429;0;3
38488,9;16624;2313;44,22259315;2,835616438;1;2
38488,3;13493;327;27,11409602;2,462686567;0;2
38419,5;23160;2211,2;53,31155238;3,428571429;0;3
38297,6;8066;356,6;23,4131;2,106382979;0;2
37878,5;20563;1655;32,05869068;2,949152542;1;2
37859,8;18974;2367,6;26,42394618;2,145454545;0;2
37809,4;11992;683,3;53,04576144;4,509803922;0;3
37779,7;22496;2582,4;31,64926337;2,238683128;0;3
37723,9;16553;2188;51,28863644;3,796610169;0;3
37678,1;21553;2568;51,28863644;3,796610169;0;3
37647;26021;2215,8;24,81411417;2,183333333;1;2
37234,6;21033;1780;24,57898271;2,247663551;0;2
37194,5;25588;2445,2;24,81411417;2,183333333;1;2
37045;25332;2042;32,79745989;2,962566845;1;2
36985;17884;1876;44,22259315;2,835616438;1;2
36946,9;17388;1629;34,54931222;2,533333333;0;2
36897;15158;1713;28,76237419;1,720430108;0;2
36880,2;20740;2391,5;42,81280479;3,323943662;0;3
36875,3;22892;2351,6;24,57898271;2,247663551;0;2
36847,4;20000;1502,9;26,93972538;2,2;1;2
36770,4;18587;2314,1;49,83286849;3,903361345;0;3
36745,1;20440;2331;55,17231143;3,96;0;3
36739,4;12914;627;35,55126737;2,78245614;1;3
36701;18668;1589;32,77798121;2,731543624;0;2
36663;22801;2712;35,42519715;2,544483986;0;2
36655,8;27118;2365,1;30,50147568;2,8;1;2
36633,8;19157;1813,4;27,43548981;2,055555556;1;2
36631,9;20818;2179;38,475968;3,34;1;2
36570,2;23403;2169;37,90207398;3,520325203;0;2
36568,9;23421;2002;26,47819712;2,49201278;0;2
36531;18194;2452,8;33,13721136;2,352272727;0;2
36525,7;17125;1941,8;32,79745989;2,962566845;1;2
36506,5;17164;2352,9;38,475968;3,34;1;2
36477,5;19979;2426,3;32,43651165;2,446601942;0;2
36477,4;11203;997;27,11409602;2,462686567;0;2
36477,3;20918;2331;34,54931222;2,533333333;0;2
36475,1;20454;1976;31,63460946;2,243243243;0;2
36457;18597;2200;36,5462183;3,006535948;0;3
36439;22472;2716;35,42519715;2,544483986;0;2
36407,6;12619;239,5;33,63371754;2,280701754;1;2
36374;18873;2485,2;27,43548981;2,055555556;1;2
36355,4;15633;2332,3;42,81280479;3,323943662;0;3
36342;20297;2309;33,13721136;2,352272727;0;2
36333;21713;2209;27,79998768;2,611374408;0;2
36306,2;16702;2163,1;23,4131;2,106382979;0;2
36215,5;23394;2192;32,05869068;2,949152542;1;2
36201;21387;2130;24,81411417;2,183333333;1;2
36148;18866;2546;28,76237419;1,720430108;0;2
36117,5;23128;1907;34,54931222;2,533333333;0;2
36115,3;34132;283;27,11409602;2,462686567;0;2
36115,3;34132;283;23,4131;2,106382979;0;2
36038,1;17663;1980;55,17231143;3,96;0;3
36008,6;12211;262;56,81350076;5,114503817;1;3
36008,6;12211;262;56,81350076;5,114503817;1;3
35987,9;13403;592,8;35,55126737;2,78245614;1;3
35908,7;18213;2096,2;53,31155238;3,428571429;0;3
35836,2;17307;2263,9;34,30544052;2,758169935;0;2
35836;16505;2275;34,30544052;2,758169935;0;2
35794,7;20728;2262,2;30,50147568;2,8;1;2
35766;22608;2740;44,22259315;2,835616438;1;2
35657,8;15025;2415;44,22259315;2,835616438;1;2
35636,6;11657;639;35,55126737;2,78245614;1;3
35633,6;11727;183,6;33,63371754;2,280701754;1;2
35611,7;18579;2193;27,11409602;2,462686567;0;2
35584,8;13063;188,2;49,11819406;3,559440559;0;3
35571;15704;2114;28,76237419;1,720430108;0;2
35552,9;12529;494,8;35,55126737;2,78245614;1;3
35542,4;12878;430,4;33,63371754;2,280701754;1;2
35481,4;26052;2886;51,28863644;3,796610169;0;3
35477,3;23255;1849;26,42394618;2,145454545;0;2
35464;9319;890,6;22,52111273;1,363636364;0;2
35454,1;18452;2429,8;23,4131;2,106382979;0;2
35453;14338;2002,5;35,42519715;2,544483986;0;2
35427;17765;2899;34,30544052;2,758169935;0;2
35413,5;12667;518;35,55126737;2,78245614;1;3
35341,2;10954;0;53,31155238;3,428571429;0;3
35339,4;14629;1763;55,17231143;3,96;0;3
35324,1;25963;2337,6;26,47819712;2,49201278;0;2
35311,1;13675;373,6;35,55126737;2,78245614;1;3
35306,8;21157;2258,4;33,13721136;2,352272727;0;2
35303;11084;76,3;35,55126737;2,78245614;1;3
35283,3;20128;2336,8;55,17231143;3,96;0;3
35228,9;23485;2229,9;30,50147568;2,8;1;2
35203,6;11888;1027,9;53,04576144;4,509803922;0;3
35186,8;21461;1943,3;53,31155238;3,428571429;0;3
35128,7;21473;2433,6;22,11056038;1,830188679;0;2
35088,6;20843;2137;49,83286849;3,903361345;0;3
35045,4;19341;1481,1;26,70785694;2,4375;0;2
35003,4;22709;2250,3;53,04576144;4,509803922;0;3
35002,3;18429;1838,2;24,57898271;2,247663551;0;2
35000;21600;2500;25,59271481;2,101851852;0;2
34906,8;16499;1712,5;53,04576144;4,509803922;0;3
34887,5;20135;1657,5;32,79745989;2,962566845;1;2
34884,4;21450;2087,4;53,31155238;3,428571429;0;3
